experimento_id,modelo,hiperparametros,arquitectura,precision_train,recall_train,f1_train,accuracy_train,precision_test,recall_test,f1_test,accuracy_test
RF_01,random_forest,"{'n_estimators': 10, 'max_depth': 1}",,0.5592728758169935,0.6666666666666666,0.6033651361195737,0.7969924812030075,0.5501587301587302,0.6666666666666666,0.598831081728466,0.7910447761194029
RF_02,random_forest,"{'n_estimators': 50, 'max_depth': 2}",,0.9759750053867702,0.9696106362773028,0.9726574992005116,0.9774436090225563,1.0,1.0,1.0,1.0
RF_03,random_forest,"{'n_estimators': 100, 'max_depth': 3}",,0.9850052246603971,0.9881291547958214,0.9865338425798322,0.9887218045112782,1.0,1.0,1.0,1.0
RF_04,random_forest,"{'n_estimators': 200, 'max_depth': 5}",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF_05,random_forest,"{'n_estimators': 300, 'max_depth': None}",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB_01,xgboost,"{'n_estimators': 5, 'max_depth': 1, 'learning_rate': 0.1}",,0.546485260770975,0.6568001199580147,0.5925885525558282,0.7857142857142857,0.5434782608695653,0.625,0.5688888888888889,0.746268656716418
XGB_02,xgboost,"{'n_estimators': 10, 'max_depth': 2, 'learning_rate': 0.1}",,0.9850052246603971,0.9881291547958214,0.9865338425798322,0.9887218045112782,0.978494623655914,0.9722222222222222,0.9743961352657005,0.9701492537313433
XGB_03,xgboost,"{'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",,1.0,1.0,1.0,1.0,0.978494623655914,0.9722222222222222,0.9743961352657005,0.9701492537313433
XGB_04,xgboost,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.3}",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGB_05,xgboost,"{'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.5}",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NN_01,neural_network,"{'hidden_units': [4], 'epochs': 10}","[4, relu, softmax]",0.8830546533541842,0.6728395061728395,0.6121816423846881,0.8007518796992481,0.5501587301587302,0.6666666666666666,0.598831081728466,0.7910447761194029
NN_02,neural_network,"{'hidden_units': [8], 'epochs': 30}","[8, relu, softmax]",0.9916666666666667,0.9814814814814815,0.98625678119349,0.9887218045112782,1.0,1.0,1.0,1.0
NN_03,neural_network,"{'hidden_units': [16], 'epochs': 50}","[16, relu, softmax]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NN_04,neural_network,"{'hidden_units': [32, 16], 'epochs': 100}","[32, relu, 16, relu, softmax]",1.0,1.0,1.0,1.0,0.9777777777777779,0.9885057471264368,0.9826577939100626,0.9850746268656716
